,Town,Biden,Sanders,Warren,Bloomberg,Rpt.
150,Lynnfield,938,404,413,441,100%
151,Tyngsborough,965,587,330,283,100%
152,Montague,509,1076,472,145,100%
153,East Bridgewater,787,652,347,265,100%
154,Swansea,877,595,276,303,100%
155,Wrentham,874,522,391,291,100%
156,North Adams,796,822,390,164,100%
157,Raynham,867,564,255,302,100%
158,Uxbridge,850,610,308,240,100%
159,Williamstown,738,496,718,150,100%
160,Millbury,735,604,355,288,100%
161,Cohasset,943,319,361,426,100%
162,Seekonk,807,599,345,276,100%
163,Millis,728,489,391,279,100%
164,Norfolk,843,442,374,350,100%
165,Orleans,735,408,421,351,100%
166,Newbury,766,437,411,300,100%
167,Harvard,696,407,614,211,100%
168,Holbrook,694,599,311,221,100%
169,Stow,440,501,617,262,100%
170,Oxford,709,617,222,204,100%
171,Boxford,704,356,341,328,100%
172,Lakeville,614,541,242,254,100%
173,Hanson,676,508,250,231,100%
174,Charlton,679,515,231,235,100%
175,Chatham,698,344,330,297,100%
176,Sturbridge,692,454,316,198,100%
177,Eastham,601,421,347,232,100%
178,Georgetown,697,442,290,235,100%
179,Northbridge,431,650,308,244,100%
180,Hamilton,731,377,403,214,100%
181,Sterling,603,485,299,195,100%
182,Upton,648,473,310,212,100%
183,Salisbury,592,469,246,268,100%
184,Leicester,629,513,224,221,100%
185,Dover,704,226,317,387,100%
186,Southbridge,583,505,196,255,100%
187,Middleton,632,378,213,302,100%
188,Hadley,528,565,424,114,100%
189,Mattapoisett,657,353,300,242,100%
190,Ayer,524,527,335,170,100%
191,West Boylston,647,407,244,195,100%
192,Carlisle,556,292,437,230,100%
193,Deerfield,463,552,415,129,100%
194,Rehoboth,629,470,252,189,100%
195,Palmer,590,541,213,167,100%
196,Bolton,561,342,411,186,100%
197,Merrimac,536,461,251,184,100%
198,Lenox,633,357,329,190,100%
199,Plainville,544,398,245,207,100%
200,Boxborough,522,395,412,168,100%
201,Adams,677,502,180,141,100%
202,Westminster,598,440,227,185,100%
203,Sutton,620,373,239,194,100%
204,Rutland,549,472,245,170,100%
205,Spencer,570,451,219,163,100%
206,Townsend,427,508,251,169,100%
207,Groveland,542,400,234,183,100%
208,Provincetown,540,228,362,141,100%
209,Sherborn,564,211,319,264,100%
210,Lancaster,500,349,311,164,100%
211,Athol,391,549,186,137,100%
212,Dudley,506,406,196,172,100%
213,Rowley,521,362,242,177,100%
214,Monson,453,428,238,160,100%
215,Marion,541,290,248,214,100%
216,West Newbury,548,285,266,180,100%
217,Oak Bluffs,493,340,254,188,100%
218,Southampton,456,394,261,144,100%
219,Tisbury,437,399,297,135,100%
220,Halifax,519,363,190,171,100%
221,Dalton,582,369,208,114,100%
222,Shirley,387,413,257,137,100%
223,Freetown,494,398,143,184,100%
224,West Tisbury,389,361,335,133,100%
225,Hopedale,509,347,209,127,100%
226,Lee,511,371,221,107,100%
227,Edgartown,458,320,235,153,100%
228,West Bridgewater,461,333,158,174,100%
229,Wellfleet,373,350,309,128,100%
230,Blackstone,462,331,164,143,100%
231,Ware,419,414,175,136,100%
232,Granby,358,404,208,138,100%
233,Boylston,455,309,207,148,100%
234,Southwick,394,358,141,196,100%
235,Winchendon,388,383,142,135,100%
236,Ashburnham,371,383,192,114,100%
237,Douglas,432,353,161,112,100%
238,Nahant,402,227,210,198,100%
239,Orange,318,428,181,97,100%
240,Mendon,383,314,202,114,100%
241,Wenham,400,178,240,191,100%
242,Dighton,415,338,136,120,100%
243,Essex,382,277,209,151,100%
244,Williamsburg,202,391,369,52,100%
245,Templeton,381,313,122,148,100%
246,Hatfield,305,329,250,104,100%
247,Sunderland,225,426,283,61,100%
248,Paxton,331,253,193,121,100%
249,Princeton,328,249,192,110,100%
250,Barre,277,348,141,81,100%
251,Shutesbury,129,371,346,26,100%
252,Berkley,338,273,111,105,100%
253,Berlin,259,226,248,111,100%
254,Avon,312,277,111,95,100%
255,Hubbardston,286,278,131,78,100%
256,Dunstable,294,222,163,91,100%
257,Hampden,347,207,104,101,100%
258,Sheffield,293,214,194,71,100%
259,Northfield,186,298,192,51,100%
260,Conway,191,251,225,44,100%
261,Ashfield,147,267,224,29,100%
262,Shelburne,152,273,205,33,100%
263,Stockbridge,245,154,160,75,100%
264,West Brookfield,275,204,82,67,100%
265,Warren,212,212,98,75,50%
266,Lanesborough,262,197,114,46,100%
267,Ashby,189,234,102,77,100%
268,Pelham,137,207,253,26,100%
269,Cheshire,275,169,92,65,100%
270,Buckland,145,230,189,30,100%
271,Lunenburg,210,159,106,75,25%
272,Plympton,249,149,73,64,100%
273,Bernardston,185,206,70,63,100%
274,Chilmark,131,143,134,81,100%
275,Whately,155,162,122,49,100%
276,Fairhaven,166,154,59,82,17%
277,Brookfield,188,150,77,44,100%
278,Richmond,219,97,99,59,100%
279,West Stockbridge,148,147,119,38,100%
280,Gill,142,164,113,39,100%
281,Egremont,154,119,104,71,100%
282,Hardwick,151,119,89,56,100%
283,Millville,172,139,41,48,100%
284,Hinsdale,186,110,58,52,100%
285,New Marlborough,146,100,86,47,100%
286,Colrain,87,175,97,19,100%
287,Worthington,92,123,112,42,100%
288,Holland,139,114,60,37,100%
289,Becket,142,100,85,31,100%
290,Oakham,140,111,60,28,100%
291,East Brookfield,125,93,40,49,100%
292,Chesterfield,74,117,92,22,100%
293,Erving,84,139,52,23,100%
294,Clarksburg,149,81,55,17,100%
295,Cummington,73,115,86,24,100%
296,Otis,100,95,51,44,100%
297,Charlemont,81,125,67,14,100%
298,Goshen,74,89,90,30,100%
299,Phillipston,82,109,44,35,100%
300,Monterey,72,72,70,39,100%
301,Royalston,98,94,39,17,100%
302,Granville,87,74,46,27,100%
303,Leyden,71,78,72,22,100%
304,Wales,83,87,30,39,100%
305,Plainfield,52,71,86,18,100%
306,Warwick,41,108,48,7,100%
307,Windsor,85,82,35,20,100%
308,New Braintree,69,64,46,15,100%
309,Heath,57,73,51,13,100%
310,Chester,57,64,27,29,100%
311,Aquinnah,51,67,26,31,100%
312,Washington,70,43,33,14,100%
313,Blandford,79,37,30,19,100%
314,Peru,59,62,18,6,100%
315,Sandisfield,46,45,33,17,100%
316,Montgomery,53,48,19,23,100%
317,Middlefield,41,28,42,12,100%
318,Florida,45,46,15,9,100%
319,Savoy,25,46,14,19,100%
320,Hawley,44,25,24,12,100%
321,Rowe,32,37,22,11,100%
322,Tolland,32,20,7,14,100%
323,Acushnet,0,0,0,0,0%
324,Alford,0,0,0,0,0%
325,Bellingham,0,0,0,0,0%
326,Brimfield,0,0,0,0,0%
327,Carver,0,0,0,0,0%
328,Duxbury,0,0,0,0,0%
329,Gosnold,0,0,0,0,0%
330,Great Barrington,0,0,0,0,0%
331,Hancock,0,0,0,0,0%
332,Hingham,0,0,0,0,0%
333,Huntington,0,0,0,0,0%
334,Leverett,0,0,0,0,0%
335,Manchester,0,0,0,0,0%
336,Medway,0,0,0,0,0%
337,Monroe,0,0,0,0,0%
338,Mount Washington,0,0,0,0,0%
339,New Ashford,0,0,0,0,0%
340,New Salem,0,0,0,0,0%
341,North Brookfield,0,0,0,0,0%
342,Petersham,0,0,0,0,0%
343,Rochester,0,0,0,0,0%
344,Russell,0,0,0,0,0%
345,Topsfield,0,0,0,0,0%
346,Truro,0,0,0,0,0%
347,Tyringham,0,0,0,0,0%
348,Webster,0,0,0,0,0%
349,Wendell,0,0,0,0,0%
350,Westhampton,0,0,0,0,0%
