,County,Biden,Sanders,Bloomberg,Warren,Rpt.
133,Gonzales,239,129,135,40,100%
134,Tyler,300,103,131,42,100%
135,Marion,371,106,82,32,100%
136,Karnes,209,147,126,31,100%
137,Culberson,128,188,137,21,100%
138,La Vaca,234,103,96,55,100%
139,Red River,272,114,83,26,100%
140,De Witt,235,108,89,39,100%
141,Montague,212,112,77,33,100%
142,San Augustine,274,67,91,19,100%
143,Shelby,261,80,72,19,100%
144,Refugio,158,67,127,25,100%
145,Trinity,65,46,58,16,100%
146,Leon,243,67,69,23,100%
147,Young,182,81,61,38,100%
148,Rains,176,69,80,26,100%
149,Comanche,145,102,84,26,100%
150,Ward,112,98,111,24,100%
151,Eastland,152,124,50,28,100%
152,Hockley,160,110,72,30,100%
153,Nolan,170,107,45,34,100%
154,Goliad,187,63,66,26,100%
155,Franklin,187,57,69,22,100%
156,Jackson,192,60,54,23,100%
157,Deaf Smith,133,85,84,24,100%
158,Mason,118,53,72,22,100%
159,Newton,196,61,67,11,100%
160,Hutchinson,129,89,75,30,100%
161,Hudspeth,92,88,52,12,100%
162,Jones,155,83,43,29,100%
163,Dawson,101,71,89,19,100%
164,Sabine,167,46,64,21,100%
165,Jeff Davis,119,80,35,58,100%
166,Live Oak,164,48,57,18,100%
167,Somervell,94,93,56,36,100%
168,Crockett,84,77,42,26,100%
169,Madison,159,76,32,20,100%
170,Lamb,117,75,69,13,100%
171,Moore,119,77,38,20,100%
172,Wilbarger,120,59,45,18,100%
173,Gray,117,79,38,20,100%
174,Clay,133,43,34,29,100%
175,Scurry,98,77,31,23,100%
176,Callahan,119,74,14,20,100%
177,Hamilton,118,42,41,23,100%
178,Terry,75,63,60,16,100%
179,Andrews,81,84,33,22,100%
180,Archer,92,36,38,21,100%
181,Swisher,94,23,50,20,100%
182,Crosby,83,55,33,9,100%
183,Gaines,71,46,31,14,100%
184,Jack,79,33,35,11,100%
185,Haskell,104,20,15,12,100%
186,Terrell,36,23,28,11,100%
187,Castro,51,32,60,10,100%
188,Runnels,76,28,18,14,100%
189,Coleman,70,36,16,15,100%
190,Fisher,81,29,18,10,100%
191,McCulloch,69,31,27,15,100%
192,Delta,72,33,23,8,100%
193,Kinney,4,3,3,4,100%
194,Stephens,69,24,18,15,100%
195,San Saba,49,24,19,25,100%
196,Real,47,39,15,15,100%
197,Mitchell,69,25,21,5,100%
198,Carson,66,25,18,14,100%
199,Hardeman,59,20,19,3,100%
200,Childress,52,32,15,11,100%
201,Schleicher,45,29,21,11,100%
202,Bailey,47,34,15,11,100%
203,Kenedy,30,22,23,7,100%
204,Parmer,48,31,19,8,100%
205,Floyd,53,22,17,7,100%
206,Kimble,41,27,14,10,100%
207,Mills,30,32,19,8,100%
208,Garza,40,21,20,8,100%
209,Upton,19,28,23,13,100%
210,Winkler,40,17,13,12,100%
211,Yoakum,33,30,16,4,100%
212,Hall,41,18,20,0,100%
213,Ochiltree,32,21,14,9,100%
214,Sutton,28,20,11,11,100%
215,Crane,24,25,12,4,100%
216,Hemphill,39,8,14,6,100%
217,Knox,48,13,5,6,100%
218,Stonewall,35,6,14,9,100%
219,Lynn,36,14,17,2,100%
220,Coke,26,12,14,5,100%
221,Hartley,36,11,12,7,100%
222,Dallam,20,26,9,3,100%
223,Wheeler,31,14,13,3,100%
224,Lipscomb,20,16,6,12,100%
225,Baylor,27,5,19,6,100%
226,Concho,27,19,10,7,100%
227,Collingsworth,22,11,15,8,100%
228,Cottle,20,18,8,6,100%
229,Menard,26,18,7,7,100%
230,Donley,22,14,12,5,100%
231,Dickens,15,8,18,10,100%
232,Shackelford,27,13,3,2,100%
233,Irion,21,16,6,5,100%
234,Martin,16,20,4,3,100%
235,Kent,14,4,14,2,100%
236,Sherman,18,10,5,2,100%
237,Oldham,16,9,8,5,100%
238,Edwards,3,11,4,9,100%
239,Briscoe,9,4,5,7,100%
240,Cochran,17,8,4,3,100%
241,Foard,15,7,2,4,100%
242,Armstrong,11,10,4,0,100%
243,Reagan,9,7,8,0,100%
244,Throckmorton,18,4,4,0,100%
245,Sterling,5,13,1,2,100%
246,Hansford,8,12,0,0,100%
247,McMullen,8,0,10,0,100%
248,Motley,8,2,2,3,100%
249,Glasscock,3,6,4,0,100%
250,Roberts,1,0,6,1,100%
251,Loving,0,4,2,0,100%
252,Borden,2,1,2,0,100%
253,King,0,1,1,0,100%
